id	sent0	label
4305	 Lalettane vellan Indian cinimayil arum ellllaaa...	Positive
3902	 Prthvi raj  unni mukundan  aarya  evide....malty   star   chothramu...	unknown_state 
1237	 FDFS book cheyyum ennu urappullavar ivde likikkoo	unknown_state 
5277	 Ithu oru onnonnara movie aaanu mone	Positive
3025	 Ente ponnoo ijjathii marana masss	Positive
5658	Idhile aa kochu midukkane  aarum kaanadhe poovarudh	unknown_state
6440	BGMil gopisunderinte sound illayirunenkl korachu better aayene	Mixed_feelings
5215	 Nov 21 will gonna change Mollywood fate	not-malayalam 
29	 Feeling sad am studying in punjab ivde release aakuvo	Negative 
2073	 All the best lalletta  oru katta Messi & ikka fan	Positive
4695	 Super heavy  amazing  Ethil aparam onum parayan elaa	Positive
2171	 De pinneyum youtubil trending no 1	Positive
4754	 #JUNE 16  #KATTA #WAITING #DERICK ABRAHAM	Positive
5614	Alla pa mammoka k ethra age	unknown_state
3108	 Chaadi vettal kurach over aayo ennoru doubt	Mixed_feelings 
13	 Dislike adikan keri like adichath njaan mathramaano?	unknown_state 
4289	 adipoli     s	Positive
5077	 nale padam release ann ...appo engana FDFS alle	unknown_state 
3410	 Ikkka romajam ikkka uyir poli ennni 21 kannnam	Positive
957	 Lusifer oniladhigam kanubol lagadikumpole enalum kolam	Mixed_feelings 
4594	 2017 = puli murugan 2018 = kochunni 2019 = mamangam	unknown_state 
4646	 ikka oru rakshayum illa ajathi item	Positive
6623	Mudi valarthiya kure aalind....aaa avasanam Vanna payyan eth?	unknown_state
394	 Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa	Positive
4363	 Sunny chechi ullath kond cinema jayikum	Positive
5225	 Ejjathi ponne vere lvl trailer  Pratheeshakalkumapuram	Positive
5075	 Aentae ponnoo ithu vaerae level thannae laletta umahhh	Positive
2401	 Mammookka luv	not-malayalam 
196	 Ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru	unknown_state 
5272	 AsiF Ali fansinte vaka Ella vidha ashamsagalum	Positive
4170	 Virus trailer kande evide vannavare undo	unknown_state 
4274	 Ethra viewers aayi ennu nokkaaan vannar adi like.	unknown_state 
6308	Show mammookkas fans power... Hit like bros	not-malayalam
3150	 eee mammunnikk 10 million onnum ethikkaanulla traniyilla	Negative 
610	 E  adaaar item adaaar item ennu paranchal entha ennu eppalla manasilayathu	Positive
3219	 Karnataka superstar kichcha sudeep fans one like	not-malayalam 
2900	 Mammunikal kuthiyirunn Dislike adikunund🤣🤣bloody patti theetams	Negative 
2045	 Njanentha ipam kande... Ivide enna oru BGM	Positive
3988	 Ithu polikum pappan marana massanengil pullu giri kola massanu jayettante first gangster underworld movie	Positive
5070	 Poli ee movie oru charithram aaagum	Positive
956	 Ente entra Kali kandittullavananu nii	unknown_state 
